name,status
Crystalsol,closed
JBI Fish & Wings,closed
COINPLUS,closed
Imagine Communications,operating
DNA13,operating
Quickfire Games,closed
Sente Inc.,closed
Triosyn,closed
Urgent.ly,operating
Map Decisions,closed
Omega Discovery Solutions,closed
Axiata,operating
Tripsuit,closed
Stratics Networks Inc,closed
LTG Exam Prep Platform,operating
Littlstar,closed
Aarki,closed
Awesome Maps,closed
Stroma Medical,closed
Solasta,operating
Storeness,closed
Bizpora,operating
LMC Diabetes & Endocrinology,operating
Montage Healthcare Solutions,closed
Farrago Comics,closed
Syrinix,operating
Talkway Communications,closed
Mollejuo,operating
Cymfony,operating
MIT Energy Initiative,operating
Lucent Health Solutions,closed
thesweetlink,operating
Boston Technologies,operating
Wavii,closed
"Dots ,LLC",operating
Xetawave,closed
Dental Corp,closed
Expway,closed
Avenger Networks,closed
Ginio.com,operating
Skyrobotic,closed
Sijibang.com,closed
Calolo,operating
Taggify,operating
Forterra Systems,operating
Get Satisfaction,closed
Mtone Wireless,closed
EZChip,operating
BioBots,operating
Adamant Energy,operating
Bunch,closed
Enevate,operating
GroundMetrics,operating
Gruppo Argenta,closed
GammaSite,closed
MashON,closed
Native Networks,closed
Lucky Oyster,closed
The Backscratchers,closed
Eurekite,operating
Pundit Arena,operating
DashLuxe,closed
Festicket,operating
EAP Technology Systems,operating
siXis,closed
GoldSpot Media,operating
E la Carte,closed
Superior Global Solutions,closed
Nowsta,closed
Voalte,operating
icomasoft,closed
BTCjam,closed
Pangaea Resources,operating
BlogCN,closed
Diffinity Genomics,closed
KidStart,closed
DUFL,closed
IDRI (Infectious Disease Research Institute),closed
Splurgy,closed
beenz.com,closed
REVA Medical,closed
Indie Broadcast Network,operating
Accurence,operating
Minka,closed
Com2uS Corp.,operating
DYNAGENT SOFTWARE SL,closed
AWP Energy,operating
Xactly Corp,operating
FreshMonk,operating
Bandura,closed
alooma,closed
Xterprise Solutions,operating
Velomedix,closed
Hecare,operating
ParinGenix,closed
Chamelic,operating
Slipstream,closed
Peak 10,operating
Theatro,closed
BurstPoint Networks,operating
StepOne,closed
Metaome,closed
Astrobotic Technology,closed
FANCY CELLAR - 品庄酒,closed
Monitoring Division,closed
DataMotion,closed
Gumhouse,closed
Nookster,closed
Magzter,closed
Capital Esquire,closed
Mantis Deposition,operating
Immy,operating
Analyze,closed
Parodys Entertainment,operating
Charles River Laboratories International,closed
SynapticMash,operating
50 Partners,closed
GoAlbert,operating
Imitix,operating
TOBESOFT,operating
SoSocio,operating
Chicken Out Rotisserie,operating
Acacia Research,operating
OSG Records Management,closed
World Class Driving,operating
PocketMarket,closed
Connectbeam,operating
NA-KD.com - The next generation fashion marketplace,operating
My Study Rewards,operating
Cerevast Therapeutics,closed
Shoplins,closed
kibow,closed
Amatra SmartSource,closed
Apokalyyis,closed
HeartWare International,closed
Jobaline,operating
Searchwords Pty Ltd,closed
Scholar Rock,closed
Beyond the Box,operating
Silentium,closed
SYLOB,operating
Accedian Networks,operating
Emerging Threats,operating
Pulse Aerospace,operating
Alta Rail Technology,operating
Habitissimo,closed
Yaoota.com,operating
CloudDesk,closed
Bringhub,operating
Nimbus Concepts,operating
TalentIQ,operating
Square Yards,closed
RecordSled,closed
SP3H,operating
Zjdg.cn,operating
Graftec Electronics,closed
SymbioCellTech,operating
Royal Treatment Fly Fishing,closed
Love Warrior Wellness Collective,closed
Naubo,operating
Scripted.com,operating
mParticle,closed
Manitex International,operating
Genetics Squared,operating
SafeView,closed
Spinal USA,operating
Fondeadora,operating
The Preferred Prepaid,closed
"Nanovis, Inc.",operating
Royal Klasse Autos,operating
Wipebook,operating
AMT,closed
Pinrose,operating
GranData,operating
CommunitySift,closed
Longxun Changtian Technology,operating
SageFire,closed
NowPublic,closed
Antavo,closed
CloudCrowd,closed
ioBridge,operating
CDx Life,operating
sentitO Networks,operating
Stage 32,closed
Shopwings,operating
BiggiFi,operating
Onstream Media,closed
BoostSuite,operating
Desafío Táctico,closed
HERCAMOSHOP,closed
Offset Options,operating
Sharelook,closed
utoopia,closed
VGTI Florida,operating
AdmitHub,closed
BiometryCloud,closed
Arisoko,closed
"Woodenshark, LLC",closed
gShift,operating
Sojern,closed
Food Reporter,closed
Inocucor Technologies,operating
BuyMyTronics.com,closed
Free For Kids,operating
Quantum Group,operating
Brandsclub,operating
Nanya Technology Corporation,closed
Psydex,closed
Cubeit,operating
Ahometo,operating
CollabNet,operating
Cebix,operating
Hampton Creek,closed
uma information technology,operating
Househappy,operating
Chexology,operating
Qwiqq,closed
Eventus Systems,closed
Baton Rouge Homes,closed
Startupeando,closed
Sandy Bottom Drink,closed
Smart Load Solutions,operating
AppTweak.com,operating
MineralRightsWorldwide.com,operating
Compufirst,operating
ZAPITANO,operating
mobilePeople,operating
TeskaLabs,operating
Plenummedia,operating
GearTranslations,operating
Sunamp,closed
Netccm,closed
Cyrano Sciences,closed
Nemo,closed
UltraWood Products Company,closed
Verve Rehab,closed
Cookunity,closed
Vobile,closed
Profitably,operating
Rubysophic,closed
FireLayers,operating
NanoSteel,closed
Ge.tt,operating
Olygose,closed
Wantr,operating
Polyera,closed
Xquva,closed
HIPVILLA,operating
ShareRoot,operating
Mobile Pulse,operating
SKY MobileMedia,operating
make.tv,closed
Crude Area,closed
whodoyou,closed
ETI International,closed
PacketZoom,closed
Beer52,closed
Embrace Innovations,operating
Ripple TV,closed
Credit Sesame,closed
Open CS,closed
Jumpshot,operating
Athlete IQ,operating
NanoBio,closed
Carro,closed
Bizongo,operating
KnowledgeVision,operating
Camaloon,operating
Eyetel Imaging,closed
Little Riot,operating
Axceler,operating
Serenify,operating
Tailored Republic,operating
Epylon,closed
DOZ,closed
Skai,closed
Zapproved,operating
