id,Покупательская активность,Тип сервиса,Разрешить сообщать,Маркет_актив_6_мес,Маркет_актив_тек_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Неоплаченные_продукты_штук_квартал,Ошибка_сервиса,Страниц_за_визит
215348,Снизилась,премиум,да,3.4,5,121,0.0,Товары для детей,6,2,1,5
215349,Снизилась,премиум,да,4.4,4,819,0.75,Товары для детей,4,4,2,5
215350,Снизилась,стандартт,нет,4.9,3,539,0.14,Домашний текстиль,5,2,1,5
215351,Снизилась,стандартт,да,3.2,5,896,0.99,Товары для детей,5,0,6,4
215352,Снизилась,стандартт,нет,5.1,3,1064,0.94,Товары для детей,3,2,3,2
215353,Снизилась,стандартт,да,3.3,4,762,0.26,Домашний текстиль,4,1,1,4
215354,Снизилась,стандартт,да,5.1,3,431,0.23,Косметика и аксесуары,2,3,7,2
215355,Снизилась,стандартт,нет,4.7,4,284,0.17,Товары для детей,5,1,6,4
215356,Снизилась,стандартт,да,4.2,4,192,0.14,Косметика и аксесуары,2,2,1,3
215357,Снизилась,стандартт,да,3.9,5,154,0.0,Техника для красоты и здоровья,3,3,9,5
215358,Снизилась,стандартт,да,4.7,4,450,0.13,Домашний текстиль,4,2,6,4
215359,Снизилась,стандарт,да,4.6,5,110,0.0,Домашний текстиль,4,2,4,2
215360,Снизилась,премиум,да,3.9,3,623,0.35,Кухонная посуда,3,1,4,7
215361,Снизилась,стандарт,да,5.1,4,199,0.23,Техника для красоты и здоровья,4,5,2,3
215362,Снизилась,премиум,да,4.2,4,438,0.74,Домашний текстиль,3,4,6,4
215363,Снизилась,стандарт,нет,4.9,4,923,0.29,Товары для детей,6,0,3,1
215364,Снизилась,премиум,да,4.3,4,708,0.98,Домашний текстиль,3,3,3,3
215365,Снизилась,стандарт,да,3.9,4,167,0.95,Техника для красоты и здоровья,6,4,2,5
215366,Снизилась,стандарт,нет,3.8,3,209,0.22,Товары для детей,5,3,7,7
215367,Снизилась,премиум,да,4.2,4,581,0.4,Товары для детей,5,1,4,1
215368,Снизилась,премиум,да,3.8,5,829,0.24,Техника для красоты и здоровья,2,2,6,1
215369,Снизилась,стандарт,нет,2.7,4,607,0.21,Товары для детей,2,2,3,4
215370,Снизилась,стандарт,да,3.9,4,572,0.4,Домашний текстиль,2,0,5,5
215371,Снизилась,стандарт,да,3.8,4,365,0.21,Домашний текстиль,5,0,6,1
215372,Снизилась,стандарт,нет,4.8,4,566,0.39,Косметика и аксесуары,2,1,4,5
215373,Снизилась,премиум,нет,3.8,3,811,0.9,Товары для детей,2,5,5,3
215374,Снизилась,стандарт,нет,2.9,5,268,0.98,Домашний текстиль,6,3,2,2
215375,Снизилась,премиум,да,3.0,4,558,0.89,Товары для детей,3,3,7,4
215376,Снизилась,стандарт,да,2.4,3,534,0.98,Домашний текстиль,4,1,5,4
215377,Снизилась,стандарт,да,4.6,4,730,0.27,Товары для детей,2,5,8,5
215378,Снизилась,стандарт,да,1.7,3,488,0.39,Техника для красоты и здоровья,5,1,4,3
