id,Период,минут
215348,текущий_месяц,14
215348,предыдцщий_месяц,13
215349,текущий_месяц,10
215349,предыдцщий_месяц,12
215350,текущий_месяц,13
215350,предыдцщий_месяц,8
215351,текущий_месяц,13
215351,предыдцщий_месяц,11
215352,текущий_месяц,11
215352,предыдцщий_месяц,8
215353,предыдцщий_месяц,10
215353,текущий_месяц,10
215354,предыдцщий_месяц,11
215354,текущий_месяц,12
215355,предыдцщий_месяц,12
215355,текущий_месяц,10
215356,предыдцщий_месяц,6
215356,текущий_месяц,7
215357,предыдцщий_месяц,12
215357,текущий_месяц,6
215358,предыдцщий_месяц,14
215358,текущий_месяц,10
215359,предыдцщий_месяц,13
215359,текущий_месяц,11
215360,текущий_месяц,6
215360,предыдцщий_месяц,9
215361,текущий_месяц,13
215361,предыдцщий_месяц,11
215362,текущий_месяц,13
215362,предыдцщий_месяц,13
215363,предыдцщий_месяц,8
215363,текущий_месяц,5
215364,текущий_месяц,9
215364,предыдцщий_месяц,11
215365,текущий_месяц,10
215365,предыдцщий_месяц,6
215366,текущий_месяц,14
215366,предыдцщий_месяц,8
215367,текущий_месяц,7
215367,предыдцщий_месяц,8
215368,текущий_месяц,9
215368,предыдцщий_месяц,11
215369,предыдцщий_месяц,8
215369,текущий_месяц,9
215370,текущий_месяц,10
215370,предыдцщий_месяц,7
215371,предыдцщий_месяц,10
215371,текущий_месяц,10
215372,текущий_месяц,9
215372,предыдцщий_месяц,9
215373,текущий_месяц,8
215373,предыдцщий_месяц,10
215374,текущий_месяц,8
215374,предыдцщий_месяц,11
215375,предыдцщий_месяц,8
215375,текущий_месяц,9
215376,предыдцщий_месяц,8
215376,текущий_месяц,9
215377,текущий_месяц,7
215377,предыдцщий_месяц,8
215378,предыдцщий_месяц,12
215378,текущий_месяц,8
215379,предыдцщий_месяц,10
215379,текущий_месяц,15
215380,предыдцщий_месяц,12
215380,текущий_месяц,14
215381,текущий_месяц,9
215381,предыдцщий_месяц,9
215382,предыдцщий_месяц,15
215382,текущий_месяц,8
215383,предыдцщий_месяц,7
215383,текущий_месяц,10
215384,текущий_месяц,12
215384,предыдцщий_месяц,11
215385,текущий_месяц,8
215385,предыдцщий_месяц,10
215386,предыдцщий_месяц,14
215386,текущий_месяц,8
215387,текущий_месяц,5
215387,предыдцщий_месяц,7
215388,предыдцщий_месяц,10
215388,текущий_месяц,12
215389,текущий_месяц,7
215389,предыдцщий_месяц,7
215390,текущий_месяц,12
215390,предыдцщий_месяц,8
215391,текущий_месяц,11
215391,предыдцщий_месяц,10
215392,текущий_месяц,7
215392,предыдцщий_месяц,7
215393,текущий_месяц,11
215393,предыдцщий_месяц,12
