id;Прибыль
215348;0,98
215349;4,16
215350;3,13
215351;4,87
215352;4,21
215353;3,95
215354;3,62
215355;5,26
215356;4,93
215357;4,66
215358;3,06
215359;5,08
215360;4,55
215361;4,03
215362;3,49
215363;1,83
215364;2,67
215365;3,65
215366;2,95
215367;3,03
215368;6,27
215369;3,86
215370;2,82
215371;1,4
215372;1,63
215373;3,69
215374;4,08
215375;4,18
215376;4,26
215377;4,27
215378;3,03
215379;4,42
215380;3,88
215381;3,62
215382;2,42
215383;4,27
215384;4,78
215385;4,85
215386;4,05
215387;3,48
215388;5,16
215389;4,6
215390;5,7
215391;5,44
215392;4,1
215393;2,93
215394;3,9
215395;3,28
215396;5,09
215397;3,19
215398;4,77
215399;5,01
215400;6,73
215401;7,43
215402;4,28
215403;3,73
215404;3,38
215405;3,47
215406;5
215407;2,02
215408;3,68
215409;2,68
215410;4,46
215411;2,41
215412;1,63
215413;5,4
215414;3,4
215415;3,4
215416;4,22
215417;4,5
215418;4,98
215419;4,6
215420;3,96
215421;3,18
215422;4,65
215423;3,92
215424;3,89
215425;5,64
215426;4,66
215427;2,76
215428;4,25
215429;3,71
215430;4,63
215431;4,28
215432;4,18
215433;3,65
215434;2,97
215435;3,24
215436;3,81
215437;4,85
215438;4,04
215439;6,33
215440;4,68
215441;3,6
215442;3,04
215443;4,41
215444;3,98
215445;2,47
215446;4,52
215447;4,01
215448;2,95
215449;5,64
215450;2,93
215451;5,31
215452;4,5
215453;3,48
215454;3,81
215455;2,53
215456;5,83
215457;4,48
215458;2,98
215459;5,16
215460;4,92
215461;4,21
215462;3,13
215463;3,08
215464;4,9
215465;3,94
215466;2,99
215467;4,01
215468;4,62
215469;3,76
215470;3,42
215471;4,17
215472;4,47
215473;4,69
215474;4,59
215475;3,94
215476;2,84
215477;3,66
215478;4,97
215479;2,19
215480;4,04
215481;4,42
215482;3,81
215483;2,74
215484;5,64
215485;5,41
215486;4,12
215487;3,6
215488;3,93
215489;3,68
215490;5,02
215491;3,52
215492;3,89
215493;3,39
215494;6,12
215495;3,47
215496;4,64
215497;4,17
215498;3,14
215499;4,71
215500;4,99
215501;3,74
215502;4
215503;5,23
215504;2,08
215505;6,55
215506;4,18
215507;2,36
215508;4,08
215509;3,14
215510;5,01
215511;4,32
215512;4,41
215513;3,15
215514;5
215515;2,84
215516;2,77
215517;4,65
215518;3,52
215519;5,56
215520;3,44
215521;3,58
215522;2,92
215523;4,62
215524;4,97
215525;4,55
215526;4,25
215527;4,67
215528;3,33
215529;2,94
215530;1,06
215531;2,45
215532;4,86
215533;5,05
215534;3,2
215535;2,8
215536;4,13
215537;1,81
215538;2,79
215539;3,89
215540;4,68
